Month,Median,25% quartile,75% quartile,Count
January,279620.853081,165705.296277,1079913.60691,805
February,284458.76777250005,174579.94638325,1207174.4184275,716
March,331753.554502,163547.1803975,1362471.7734949999,749
April,329331.834824,171824.05347675,1453547.5060949998,745
May,382615.1974495,174668.2530965,1441484.9626125,722
June,381612.035117,179187.1955105,1697668.77388,673
July,511658.031088,189112.97270599997,1817659.8951849998,685
August,329109.2770035,171203.6081595,1519119.376015,963
September,290830.29197099997,168078.456585,1297465.150635,835
October,323506.9944335,165181.9774635,1200320.4197175,882
November,404967.602592,188984.88121,1690042.07574,787
December,388748.61340200005,184516.0154045,1688766.2362875,764
