Month,Median,25% quartile,75% quartile,Count,Count non-US
January,279620.8531,165705.2963,1079913.607,805,195
February,284458.76780000003,174579.946375,1207174.41825,716,168
March,331753.5545,163547.1804,1362471.7735000001,749,175
April,329331.83485,171824.05347500002,1453547.50575,745,171
May,382615.19745,174668.253075,1441484.9625000001,722,190
June,381612.0351,179187.19555,1697668.7740000002,673,154
July,511658.0311,189112.97269999998,1817659.895,685,145
August,329109.277,171203.60815,1519119.3762499997,963,175
September,290830.29195,168078.456575,1297465.1505,835,150
October,323506.99445,165181.9775,1200320.42,882,194
November,404967.6026,188984.8812,1690042.076,787,183
December,388748.61340000003,184516.015425,1688766.2365,764,184
